Points,FeedbackText1,FeedbackText2,stimFile,effLevel
1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,40
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,63
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,63
1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,72
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,80
1,"You reached the planet, you get 1 ruby!",You did not have enough fuel to reach the planet and missed 1 ruby!,stim/image1.png,82
2,"You reached the planet, you get 2 rubies!",You did not have enough fuel to reach the planet and missed 2 rubies!,stim/image2.png,80
3,"You reached the planet, you get 3 rubies!",You did not have enough fuel to reach the planet and missed 3 rubies!,stim/image3.png,82
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,57
4,"You reached the planet, you get 4 rubies!",You did not have enough fuel to reach the planet and missed 4 rubies!,stim/image4.png,41
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,38
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,36
6,"You reached the planet, you get 6 rubies!",You did not have enough fuel to reach the planet and missed 6 rubies!,stim/image6.png,69
7,"You reached the planet, you get 7 rubies!",You did not have enough fuel to reach the planet and missed 7 rubies!,stim/image7.png,81
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,87
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,85
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,81
7,"You reached the planet, you get 7 rubies!",You did not have enough fuel to reach the planet and missed 7 rubies!,stim/image7.png,71
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,53
6,"You reached the planet, you get 6 rubies!",You did not have enough fuel to reach the planet and missed 6 rubies!,stim/image6.png,40
7,"You reached the planet, you get 7 rubies!",You did not have enough fuel to reach the planet and missed 7 rubies!,stim/image7.png,32
0,"You reached the planet, but a space pirate already plundered all the rubies!",You did not have enough fuel to reach the planet and a space pirate already plundered all the rubies!,stim/None.png,30
